,Model,Dataset,RMSE,Training Time
0,LGBMRegressor,dataset_1,46.94216853734896,0.9190744400024414
1,LGBMRegressor,dataset_2,46.94216853734896,0.9586390495300293
2,LGBMRegressor,dataset_3,46.920581073277916,0.8357211589813233
3,LGBMRegressor,dataset_4,46.941424197500766,0.7649320602416992
4,XGBRegressor,dataset_1,46.59845121757011,0.9004532814025878
5,XGBRegressor,dataset_2,46.56686175055463,0.9238646030426025
6,XGBRegressor,dataset_3,46.56686175055463,0.9058956623077392
7,XGBRegressor,dataset_4,46.66546281768829,1.061687994003296
8,StackingRegressor,dataset_1,46.2681058791802,9.566197443008424
9,StackingRegressor,dataset_2,46.24983122896833,10.17987027168274
10,StackingRegressor,dataset_3,46.239973943477665,9.057394886016846
11,StackingRegressor,dataset_4,46.298291840643536,7.894232892990113
